Gene,Annotation1,Annotation2,Annotation3,Annotation4,Annotation5,Annotation6,Annotation7,Annotation8,Annotation9,Annotation10,Annotation11,Annotation12,Annotation13,Annotation14,Annotation15,Annotation16,Annotation17,Annotation18,Annotation19,Annotation20
gene1,0.4764205829280501,0.9342567612864231,0.8010580767112939,0.46576222746747364,0.7254665607567609,0.11560672407595052,0.2403133289833156,0.5644011109766462,0.72848259799073,0.8272779066808221,0.3700779301609659,0.8047506370481977,0.37657923059374776,0.3290904404847872,0.3978458903140035,0.6024783263368587,0.5473317537450788,0.0784243508106155,0.43832477554274707,0.3537019286734948
gene1,0.2771113478236763,0.46124709760431293,0.6701948234314664,0.17575680024893936,0.7285728383720075,0.9352327276369164,0.5099286230839257,0.5672939193863864,0.45068056262361544,0.06506074242468185,0.028956083254022658,0.1383513993625064,0.2832914717708206,0.49022331092154814,0.5392298994278848,0.9324826194051505,0.8136127895031676,0.5570367717106621,0.8983284704127817,0.3644571429639406
gene1,0.603251740084002,0.7147312222849257,0.9736106153743176,0.519111298710372,0.6468177345686906,0.6407722021640081,0.8708581573825586,0.7304846546656184,0.5186230970244271,0.3287062722738249,0.2933858594221036,0.32802425432847304,0.7359962507758603,0.4657071855648308,0.32536830178873155,0.9652992966288638,0.7128570091082289,0.6258993561146348,0.5570153096944785,0.5206847735983552
gene1,0.43924296445535294,0.7901997010816815,0.6218503261730812,0.7252620713983187,0.844816486367989,0.09143541691010437,0.07258943950996743,0.4699882084690654,0.6631651668266014,0.4208234970358632,0.5598480437819349,0.36888009423949486,0.890024040532328,0.2633581920671476,0.8183451400785494,0.005535767925446411,0.17106457959565835,0.7773899893883615,0.3900923956864678,0.04441880440650192
gene1,0.8860285430305409,0.7286788216693366,0.3249315908321483,0.08381335138105028,0.4467129405447938,0.30478776782977623,0.6370963022809929,0.5246307801407406,0.5855748719474718,0.06981292528795868,0.6298380160998519,0.8562680654967416,0.25660266803863396,0.29521363928716393,0.43157618193772984,0.30055256368454497,0.5177418833917053,0.6689939674959144,0.17372592552739285,0.17786973258983707
gene1,0.5765949557628974,0.352995305350272,0.06841718877953362,0.7033525637022838,0.3535005464006583,0.5605463012674576,0.6043470229877299,0.7812586209539333,0.2731367230779146,0.810950219344673,0.6709450546747385,0.4568582591385907,0.7026650714058859,0.9163755549896679,0.9053562302735098,0.7052849880369656,0.2670578596610944,0.8192792148148551,0.03104190555077102,0.9011845189472402
gene1,0.9236018496739817,0.1896449021802682,0.7509659144482475,0.8232853716633076,0.49117887999094434,0.265987967938626,0.3466084113017135,0.1653018603276476,0.19636400264713938,0.8152544415194732,0.8346680147406924,0.4298616020342888,0.08114695137680095,0.4159847544387302,0.23883827024367654,0.15809182291695745,0.3463750051658334,0.4040953029833597,0.5077931339437783,0.278556781142389
gene1,0.38920489970466676,0.630118116240725,0.9071802465905462,0.2823287184080434,0.41354205554861967,0.5242957868642465,0.9334757306306596,0.5943361215892964,0.8881226513561932,0.20761515830750754,0.5667106786081515,0.3535123393100751,0.08978298429398746,0.8802316221501792,0.586377429705772,0.11026307718253547,0.394877087897446,0.6751220493189914,0.36324757144624265,0.35690757021736186
gene1,0.828645395680286,0.5898919344498706,0.7571728836899198,0.24429380727094774,0.3940673838632779,0.8738705287057026,0.8069837115682253,0.6360241097707692,0.30196732069911036,0.8246880096074874,0.8302256743710297,0.9820731392574966,0.46954521792871207,0.6499753903865877,0.23195843094238455,0.6329316408404764,0.8992343771574146,0.5321404246549861,0.8575132271470076,0.9588104572701599
gene1,0.37022947243205384,0.20226437520687524,0.22397198482435232,0.5033688528629577,0.2317076163009808,0.8233238030137638,0.5830410618193789,0.3071253435278358,0.8260054041642133,0.5467987322473226,0.6388942906849149,0.472897864733286,0.5915220557516763,0.7484028875178984,0.7573574037247065,0.2517073143209506,0.13916288702040402,0.9215364068112853,0.22393765700812773,0.8030255374159614
