Gene_Variant,Annotation1,Annotation2,Annotation3,Annotation4,Annotation5,Annotation6,Annotation7,Annotation8,Annotation9,Annotation10
gene1_variant1,0.5755455321541527,0.6990771984904558,0.7233686669215817,0.6209508843595852,0.9345632477574536,0.07261106483543334,0.47735092601420914,0.9712777719663609,0.48408487062800054,0.4050257822622919
gene1_variant2,0.4589032584484476,0.5597087311282015,0.46311028680603483,0.039662760969820576,0.9108386259772873,0.817685321320698,0.08561016863899396,0.32871326229664544,0.19723138276813412,0.2184449572912378
gene1_variant3,0.9055408885182059,0.4616987932075669,0.521764036178029,0.7304478514582525,0.21545932307186533,0.24636142903498692,0.826336022836502,0.8072275071446972,0.7969469978130889,0.011741044648716392
gene1_variant4,0.096012785253199,0.12453293505406027,0.7629440001198469,0.18120955131348593,0.8049812865167112,0.019986955478250246,0.35091202031735846,0.5095463792948414,0.9526706967159563,0.3766685861361916
gene1_variant5,0.31442026743203133,0.7745635166015141,0.553961865129226,0.7133305755260898,0.1819963571744716,0.9774604763245123,0.30608771768791965,0.5229588660741091,0.32463285286039456,0.8171169916509333
gene1_variant6,0.9440391200855146,0.3150614453660505,0.9489999389482748,0.919294351295662,0.13616793525548498,0.744754358364262,0.49059895945822896,0.6634022140702233,0.7388639522723778,0.4883050091383875
gene1_variant7,0.10803270582490343,0.4360324573948148,0.5011082312794419,0.6468115340633124,0.7036190766667686,0.054787865651651946,0.6567675898118559,0.9086208190746996,0.472924257604595,0.6403663021156971
gene1_variant8,0.5666480718669884,0.4910523744663393,0.6044903067587302,0.6338662709937604,0.9187086085399827,0.39559005814764514,0.42718052231902814,0.11369806748242983,0.9157394189861496,0.9781830555699617
gene1_variant9,0.7086076089412787,0.551243921153421,0.0641245207580009,0.9769389586051841,0.4633473915324545,0.1792263523299994,0.0025563863684768817,0.5141160335138604,0.8184194296617685,0.7572541399157936
gene1_variant10,0.22123589134339772,0.39224066205482555,0.18849045988723057,0.1766707971875593,0.6772994700637833,0.9212537397179834,0.39314949378310426,0.18099128211572613,0.0021360342014264955,0.5057813518059022
gene1_variant11,0.7337662832847941,0.6995977839581644,0.9495154837811387,0.1831883121245006,0.41139567643042674,0.540363104387049,0.974490472294578,0.782528426731335,0.5267768985158774,0.6506478192878327
gene1_variant12,0.6132813441793215,0.4920692265601636,0.5937478236666918,0.3715107349193747,0.8883589669256649,0.5686907732257992,0.1272985394506061,0.02665796574122814,0.685912832620189,0.8383217129536078
gene1_variant13,0.9253286853947175,0.2693815953485038,0.9399021695222123,0.8238969758696728,0.3587196348834978,0.43738415912843587,0.10476032935759216,0.6020792622326679,0.8750962020619186,0.4076915353033922
gene1_variant14,0.8029261064293383,0.15114980314898818,0.7960261120094704,0.5905445408048039,0.12461445237123303,0.5041251741443813,0.635175360710789,0.9198921685773083,0.7779906453855753,0.8923698837299292
gene1_variant15,0.5301810502350096,0.09339099960727759,0.026112450381239216,0.6554488992417908,0.5954400225260201,0.07254281185212941,0.7509969263097293,0.41132483145141996,0.19374649057597326,0.4759631892038072
gene1_variant16,0.3318772940045771,0.9089102251107025,0.6790608349778463,0.4317700454051423,0.9904627985104644,0.8114907330082729,0.8789201938004214,0.5048665772022861,0.8694834978184592,0.6064936353758575
gene1_variant17,0.9563754546501322,0.7013641644088986,0.23905182579799766,0.9023593175726021,0.5369246374637342,0.6149961645655283,0.10849617031649983,0.07744517945843354,0.31848565248789895,0.6371635664621969
gene1_variant18,0.29347443243390914,0.8724453962266872,0.45642739689558376,0.6900528183404983,0.6929325932253336,0.6209576387149055,0.5549517939530997,0.1783933405519531,0.9298386647395815,0.1734824984519483
gene1_variant19,0.04565073984458767,0.2587777986468651,0.012516083078968676,0.5748247304744362,0.11675493593659925,0.3592014653382565,0.5987019069435983,0.4314389307065022,0.8659625480280585,0.5148807097702421
gene1_variant20,0.9779303685512589,0.4374220665887747,0.11423735495449772,0.7096302530767313,0.028400266264911767,0.16534291190029393,0.5594049568979574,0.9190648621407168,0.5122395112237781,0.26058816395434325
gene1_variant21,0.8298247079388029,0.12648434305961298,0.1471657691826458,0.1904510533973921,0.16936273856844464,0.6942234222586401,0.39119932196840945,0.6876329410182175,0.960499475179952,0.2374173064634375
gene1_variant22,0.24521966731602107,0.12237747392362386,0.4132145623709278,0.5943769772587433,0.5545069661833637,0.26510034718425635,0.48273856021812245,0.09213725910507942,0.24709292819420658,0.33353471704568427
gene1_variant23,0.6025187483508849,0.7073897512183491,0.1867894269197813,0.1546943076997428,0.7589676158508439,0.1848681245731958,0.2670301513877086,0.3383300128654727,0.6683407002928016,0.9273346071637585
gene1_variant24,0.8608762885751475,0.2852343733305267,0.7415433938348549,0.3523840087029565,0.3024792643241996,0.953983996083972,0.9776872987657387,0.2136482507962667,0.9602731354377096,0.05991444951569702
gene1_variant25,0.28843687721138567,0.8806889937407268,0.6319998654666031,0.1826998119509391,0.8133678850887555,0.7647826936069673,0.2921137514342538,0.8953484047242233,0.7226438853665381,0.12952450920242198
gene1_variant26,0.07859014993505553,0.4299065297643342,0.11393399997125098,0.8156387138930624,0.4693174151812439,0.17147795076350203,0.8202109168016625,0.3661892079480956,0.44460978722851885,0.08087491756978582
gene1_variant27,0.2631851465874774,0.9298499447839973,0.023511994105756218,0.5214325866456659,0.4157399511072616,0.2397328271396132,0.055264283873266096,0.9654080783218532,0.23229334092579235,0.4143462593401479
gene1_variant28,0.13560751091245804,0.11236668520260262,0.26481250879339124,0.2668280448542576,0.7127935262653645,0.6504253528376666,0.09625337627203256,0.2605520150984897,0.8399307526758129,0.5276837149931104
gene2_variant1,0.9841488499115743,0.6197136056198645,0.6641198276013461,0.6961390577232576,0.7670680873340343,0.21926732091671786,0.38388378603386064,0.12170352353220304,0.23567049945954321,0.6569179100338337
gene2_variant2,0.4160447478434528,0.053856213565708244,0.8817253724764509,0.10515225104149517,0.45193545626576137,0.7057525902101108,0.16644948317325647,0.22936433545967394,0.7358694508660849,0.5990913678174651
gene2_variant3,0.8562914466094526,0.8280398728957945,0.6153213828793008,0.33821346502627114,0.6971638947343496,0.9750010513044991,0.4988804145197241,0.14718009106674024,0.6088330709632395,0.5475713524252666
gene2_variant4,0.528722707391375,0.34622875777855766,0.35628685454180087,0.7670149764113149,0.5039941676509341,0.08866625071409051,0.7373752902425329,0.2207620978324636,0.834478274543805,0.5354028554410045
gene2_variant5,0.9707783723755239,0.5478835277582923,0.6390373650710861,0.19147159496648747,0.5405506552027407,0.6956473921938585,0.25203337686142513,0.952031305616223,0.4822209610832836,0.9337064848983364
gene2_variant6,0.6590009098010157,0.7625294060172342,0.07556278583124176,0.8239008569441353,0.8299110579730556,0.856762543318026,0.46373527271460424,0.7508115237786547,0.08664129564766132,0.34927161890571545
gene2_variant7,0.7565327217147009,0.7564664973491334,0.7823861689902273,0.23568680978716305,0.8224123079921775,0.9301388339956791,0.5406997890003583,0.01899130362040924,0.0038751508509338173,0.30474852428735777
gene2_variant8,0.7268643729569108,0.1462908678332231,0.6009079361325114,0.6574073127500687,0.24383297330325937,0.5448980718565362,0.3545371339214157,0.27728173401530554,0.8447499477930154,0.31008075175676464
gene2_variant9,0.9768199105020352,0.3411102432470132,0.8686995293205012,0.0759328585347131,0.3964890363380251,0.13321649071122443,0.25037811106198404,0.19699534655538165,0.8015061472729753,0.6987750203425119
gene2_variant10,0.35319339905556135,0.9658622454484437,0.2318994270113256,0.25686368239706237,0.07442464260818304,0.22768076107122093,0.8941520074009304,0.016859835057667416,0.24727521966587285,0.08073124110154217
gene2_variant11,0.9530563425766218,0.3484954193862292,0.36477202486174853,0.7145784365331298,0.18698702699336855,0.23112330659694758,0.6477776314618202,0.9312507889603263,0.853582432738023,0.9246869938445559
gene2_variant12,0.21675995837383244,0.9901207176863124,0.647216361692289,0.3103605915168117,0.5403772681860369,0.5138601990047775,0.6211270503625899,0.07406629528638065,0.5075701271269591,0.7619808392845048
gene2_variant13,0.8432075687648387,0.04976390330502278,0.6584041082683009,0.05032070960552115,0.16380397915249545,0.8636518639265967,0.5984714838703326,0.5246832757193739,0.05909881839973086,0.21398579522986194
gene2_variant14,0.9057168179118252,0.09890276034420209,0.7494677317023981,0.1855886355915236,0.44090000151742925,0.5528196633916127,0.6126667569324921,0.2146658602513445,0.17311505808367444,0.3430712627650695
gene2_variant15,0.0009905462807795473,0.5214632022859479,0.43961158431410186,0.9096161951834556,0.8746088923999392,0.42763670574403445,0.5901637054878628,0.4060859862561377,0.7855373138712243,0.3298487297727454
gene2_variant16,0.0454326302847774,0.7931471429784684,0.8351580474393918,0.053271916999446445,0.4688001754323915,0.3395897870295598,0.8781528356143963,0.19630027332051125,0.03548035326873489,0.9009093846294756
gene2_variant17,0.8775967941964261,0.2279747067865009,0.49845465907279085,0.9020611126115008,0.5977446894011823,0.11912941323294401,0.5880313169266116,0.8298569033460561,0.3796344623047063,0.706683828916286
gene2_variant18,0.34064544227501137,0.8612745279053388,0.6119239229060609,0.37689023607604955,0.615753250311895,0.9350944436806539,0.010358210358691666,0.40560861668324166,0.5495387547869828,0.9889369675453598
gene2_variant19,0.8890591188714584,0.607027225596073,0.6429341209735786,0.5956927954282383,0.9364842823589105,0.3423242578976575,0.33889049744820765,0.4498936647431512,0.5821277557729057,0.031936028437342334
gene2_variant20,0.561417306969361,0.0035973769012859202,0.4663495750748955,0.9213552121301244,0.18388893543567486,0.8394675381904588,0.9892237836085858,0.6821349351769853,0.9039155082908672,0.9958515776663062
gene3_variant1,0.9308447244365504,0.9296249285210586,0.8727705290410516,0.9190670151592238,0.12541712261954174,0.34989229942162914,0.9989902423620083,0.24228783556973432,0.7190089152939569,0.5509168517212933
gene3_variant2,0.7811366727477381,0.7890758205858964,0.8229823853498525,0.4544520822005458,0.6234594931553907,0.7325840644966493,0.20942002771699209,0.9896690583973228,0.8624501833389184,0.5641347511457422
gene3_variant3,0.40940919105242324,0.4799015158371728,0.47810073107050544,0.20538950245791898,0.5178649637578557,0.6091304770529367,0.3247568580894711,0.7268990769070856,0.7844668374737863,0.9789627364954214
